frequency v_mag v_phase i_mag i_phase
10000.0 0.1220569 -81.17 0.0007439897 -81.74
5300.0 0.1230002 140.14 0.000745104 138.56
2800.0 0.1241652 -83.64 0.0007447852 -86.44
1500.0 0.1256719 94.77 0.0007430153 90.33
770.0 0.1284312 140.36 0.0007405668 133.09
400.0 0.1333163 -81.31 0.000736639 -92.73
210.0 0.1325094 13.24 0.0006811449 -4.35
110.0 0.1389603 109.58 0.0006313942 83.53
59.0 0.1522182 71.2 0.0005698282 35.56
31.0 0.1698497 -148.45 0.0004769963 166.13
16.0 0.1872874 -55.69 0.0003612489 -109.84
8.5 0.1923889 33.21 0.0002414808 -26.19
4.5 0.1918943 162.8 0.0001528377 99.4
2.4 0.1807538 -70.05 9.083136e-05 -136.2
1.2 0.1700662 -76.92 4.981581e-05 -145.16
0.65 0.1604879 -36.89 2.901158e-05 -106.12
0.34 0.1585218 4.79 1.718012e-05 -64.57
0.18 0.1538976 91.75 1.004603e-05 23.25
0.095 0.1570207 179.84 6.303899e-06 113.15
0.05 0.1585402 -3.55 3.974401e-06 -68.07
