START MEASUREMENT SETTINGS
concentration,0.0625
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378274722,0.5,-3.43983333333e-07,1.1755020086e-07
1378274723,0.5,-1.94233333333e-07,6.79981290592e-08
1378274724,0.5,-1.511e-07,6.74410112617e-08
1378274725,0.5,-1.28616666667e-07,6.5606171373e-08
1378274726,0.5,-1.1555e-07,6.63860991975e-08
1378274727,0.5,-1.05016666667e-07,6.61960451152e-08
1378274728,0.5,-9.835e-08,6.66622894396e-08
1378274729,0.5,-8.97833333333e-08,6.43418193885e-08
1378274730,0.5,-8.55166666667e-08,6.69326755446e-08
1378274731,0.5,-8.045e-08,6.48604720406e-08
1378274732,0.5,-7.7e-08,6.47031683923e-08
1378274733,0.5,-7.54833333333e-08,6.52407060218e-08
1378274734,0.5,-7.18833333333e-08,6.61528763967e-08
1378274735,0.5,-6.85166666667e-08,6.5775246526e-08
1378274736,0.5,-6.62166666667e-08,6.54556062449e-08
1378274737,0.5,-6.66166666667e-08,6.54634991596e-08
1378274738,0.5,-6.52833333333e-08,6.67907407921e-08
1378274739,0.5,-6.13166666667e-08,6.71454867351e-08
1378274740,0.5,-6.04e-08,6.69116830855e-08
1378274741,0.55,8.228e-07,3.25350826032e-07
1378274742,0.55,3.617e-07,8.02264087858e-08
1378274743,0.55,2.5105e-07,6.73150367055e-08
1378274744,0.55,1.99383333333e-07,6.84631510782e-08
1378274745,0.55,1.7055e-07,6.83857745929e-08
1378274746,0.55,1.46483333333e-07,6.70911051399e-08
1378274747,0.55,1.31683333333e-07,6.60687751934e-08
1378274748,0.55,1.19383333333e-07,6.61969515075e-08
1378274749,0.55,1.07716666667e-07,6.61188555221e-08
1378274750,0.55,1.00866666667e-07,6.90247459652e-08
1378274751,0.55,9.38833333333e-08,6.91435925368e-08
1378274752,0.55,8.82e-08,6.7936931537e-08
1378274753,0.55,8.035e-08,6.78672294508e-08
1378274754,0.55,8.01333333333e-08,6.6089451167e-08
1378274755,0.55,7.39833333333e-08,6.59081410416e-08
1378274756,0.55,6.98e-08,6.51226535086e-08
1378274757,0.55,6.86666666667e-08,6.84815465817e-08
1378274758,0.6,9.6915e-07,3.24131188718e-07
1378274759,0.6,5.03433333333e-07,8.00481868765e-08
1378274760,0.6,3.87333333333e-07,6.8370721479e-08
1378274761,0.6,3.3175e-07,6.80907788666e-08
1378274762,0.6,2.95183333333e-07,6.7376180674e-08
1378274763,0.6,2.69183333333e-07,6.61507096628e-08
1378274764,0.6,2.48966666667e-07,6.7928385492e-08
1378274765,0.6,2.3525e-07,6.79621524576e-08
1378274766,0.6,2.20616666667e-07,6.9158294674e-08
1378274767,0.6,2.09183333333e-07,6.76689223762e-08
1378274768,0.6,2.016e-07,6.7040584723e-08
1378274769,0.6,1.93366666667e-07,6.77433801604e-08
1378274770,0.6,1.85733333333e-07,6.51981253991e-08
1378274771,0.6,1.7935e-07,6.70646019397e-08
1378274772,0.6,1.7355e-07,6.64716543598e-08
1378274773,0.6,1.67683333333e-07,6.72065204343e-08
1378274774,0.6,1.62533333333e-07,6.72959797379e-08
1378274775,0.65,1.09155e-06,3.30333186596e-07
1378274776,0.65,6.19633333333e-07,8.16804682215e-08
1378274777,0.65,4.9835e-07,6.6179257828e-08
1378274778,0.65,4.37183333333e-07,6.62506582777e-08
1378274779,0.65,3.954e-07,6.79890187212e-08
1378274780,0.65,3.6775e-07,6.62484276543e-08
1378274781,0.65,3.44516666667e-07,6.7205032467e-08
1378274782,0.65,3.253e-07,6.79245414658e-08
1378274783,0.65,3.08383333333e-07,6.84249203304e-08
1378274784,0.65,2.96183333333e-07,6.71727850811e-08
1378274785,0.65,2.83433333333e-07,6.79083614554e-08
1378274786,0.65,2.71483333333e-07,6.78322665764e-08
1378274787,0.65,2.63416666667e-07,6.69993262819e-08
1378274788,0.65,2.56833333333e-07,6.82273568462e-08
1378274789,0.65,2.49433333333e-07,6.80111183721e-08
1378274790,0.65,2.41016666667e-07,6.6246129866e-08
1378274791,0.65,2.353e-07,6.6319253112e-08
1378274792,0.7,1.25335e-06,3.75788319182e-07
1378274793,0.7,7.2555e-07,8.40105995297e-08
1378274794,0.7,5.95216666667e-07,7.0313842086e-08
1378274795,0.7,5.309e-07,6.96038073671e-08
1378274796,0.7,4.86766666667e-07,6.71320506332e-08
1378274797,0.7,4.5735e-07,6.79501839585e-08
1378274798,0.7,4.33866666667e-07,6.59978450827e-08
1378274799,0.7,4.11966666667e-07,6.62379464926e-08
1378274800,0.7,3.94066666667e-07,6.8289546947e-08
1378274801,0.7,3.78883333333e-07,6.62080286337e-08
1378274802,0.7,3.64316666667e-07,6.82442895454e-08
1378274803,0.7,3.52683333333e-07,6.71618670742e-08
1378274804,0.7,3.4245e-07,6.86773676937e-08
1378274805,0.7,3.3265e-07,6.84888859597e-08
1378274806,0.7,3.242e-07,6.86490592312e-08
1378274807,0.7,3.153e-07,6.84695309365e-08
1378274808,0.7,3.08533333333e-07,6.70722164702e-08
1378274809,0.75,1.31326666667e-06,3.43326611585e-07
1378274810,0.75,8.20783333333e-07,8.23243770432e-08
1378274811,0.75,6.88233333333e-07,7.01905422562e-08
1378274812,0.75,6.2055e-07,6.71064887573e-08
1378274813,0.75,5.747e-07,6.846587958e-08
1378274814,0.75,5.3975e-07,7.0267494856e-08
1378274815,0.75,5.14433333333e-07,6.82337567158e-08
1378274816,0.75,4.90333333333e-07,6.79231591989e-08
1378274817,0.75,4.71716666667e-07,6.80769397243e-08
1378274818,0.75,4.54483333333e-07,6.64077032848e-08
1378274819,0.75,4.37966666667e-07,6.895795015e-08
1378274820,0.75,4.283e-07,6.75125420447e-08
1378274821,0.75,4.16466666667e-07,6.90146039296e-08
1378274822,0.75,4.03233333333e-07,6.73823336557e-08
1378274823,0.75,3.94466666667e-07,6.58904309357e-08
1378274824,0.75,3.86516666667e-07,6.744590219e-08
1378274825,0.75,3.77166666667e-07,6.76607140239e-08
1378274826,0.8,1.4299e-06,3.49920452865e-07
1378274827,0.8,9.286e-07,8.43655142816e-08
1378274828,0.8,7.96233333333e-07,7.17459329083e-08
1378274829,0.8,7.22966666667e-07,6.68582995762e-08
1378274830,0.8,6.76166666667e-07,6.87893321833e-08
1378274831,0.8,6.3975e-07,6.81751726559e-08
1378274832,0.8,6.11933333333e-07,6.88326150084e-08
1378274833,0.8,5.884e-07,6.84441865075e-08
1378274834,0.8,5.6625e-07,6.83826549645e-08
1378274835,0.8,5.496e-07,6.67221102784e-08
1378274836,0.8,5.328e-07,6.81590786323e-08
1378274837,0.8,5.19883333333e-07,6.61468295201e-08
1378274838,0.8,5.066e-07,6.63822767512e-08
1378274839,0.8,4.9645e-07,6.81296374568e-08
1378274840,0.8,4.87616666667e-07,6.7143401678e-08
1378274841,0.8,4.78233333333e-07,6.76477067033e-08
1378274842,0.8,4.692e-07,6.94300127226e-08
1378274843,0.85,1.52856666667e-06,3.39172687907e-07
1378274844,0.85,1.09026666667e-06,8.40164401901e-08
1378274845,0.85,9.57666666667e-07,7.22188033379e-08
