START MEASUREMENT SETTINGS
concentration,0.125
voltage_min,0.5
voltage_max,1.2
pointsPerV,4
END MEASUREMENT SETTINGS
time,voltage,current,stdDev
i,f,f,f
1378265332,0.5,-1.71255e-06,2.73338155953e-07
1378265333,0.5,-1.25096666667e-06,9.93758801498e-08
1378265334,0.5,-1.0771e-06,9.28596970345e-08
1378265335,0.5,-9.82533333333e-07,8.73741889169e-08
1378265336,0.5,-9.081e-07,8.51805337699e-08
1378265337,0.5,-8.55533333333e-07,8.48079136769e-08
1378265338,0.5,-8.03366666667e-07,8.61674661472e-08
1378265339,0.5,-7.68883333333e-07,8.24782984925e-08
1378265340,0.5,-7.37016666667e-07,8.6872606282e-08
1378265341,0.5,-7.12916666667e-07,8.58908787681e-08
1378265342,0.5,-6.78083333333e-07,8.57014763908e-08
1378265343,0.5,-6.75166666667e-07,8.55168924183e-08
1378265344,0.5,-6.43983333333e-07,8.699645427e-08
1378265345,0.5,-6.235e-07,8.63090377655e-08
1378265346,0.5,-6.10416666667e-07,8.7012890169e-08
1378265347,0.5,-5.98816666667e-07,8.66257259069e-08
1378265348,0.5,-5.791e-07,8.72688757042e-08
1378265349,0.5,-5.66383333333e-07,8.49146810366e-08
1378265350,0.5,-5.57483333333e-07,8.74228215183e-08
1378265351,0.5,-5.40966666667e-07,8.61446393509e-08
1378265352,0.5,-5.3385e-07,8.7344685967e-08
1378265353,0.5,-5.1695e-07,8.76362605699e-08
1378265354,0.5,-4.995e-07,8.62114648215e-08
1378265355,0.5,-4.97883333333e-07,8.54299111683e-08
1378265356,0.5,-4.92483333333e-07,8.43707081213e-08
1378265357,0.5,-4.79783333333e-07,8.79196776736e-08
1378265358,0.5,-4.7245e-07,8.55672104255e-08
1378265359,0.5,-4.54333333333e-07,8.47086510078e-08
1378265360,0.5,-4.48083333333e-07,8.61456695887e-08
1378265361,0.5,-4.39816666667e-07,8.54393530848e-08
1378265362,0.5,-4.36433333333e-07,8.60839448187e-08
1378265363,0.5,-4.23433333333e-07,8.64381024523e-08
1378265364,0.5,-4.15983333333e-07,8.59735408264e-08
1378265365,0.5,-4.15666666667e-07,8.61774654742e-08
1378265366,0.5,-4.04233333333e-07,8.58860420687e-08
1378265367,0.55,8.1155e-07,4.36998490653e-07
1378265368,0.55,2.30216666667e-07,1.04771352902e-07
1378265369,0.55,8.97333333333e-08,8.48052409282e-08
1378265370,0.55,2.03833333333e-08,8.59375920202e-08
1378265371,0.55,-2.115e-08,8.56052617152e-08
1378265372,0.55,-4.56833333333e-08,8.6742625367e-08
1378265373,0.55,-6.15333333333e-08,8.22373529622e-08
1378265374,0.55,-7.45166666667e-08,8.57788807859e-08
1378265375,0.55,-8.985e-08,8.56138277383e-08
1378265376,0.55,-9.53e-08,8.68671974913e-08
1378265377,0.55,-1.0215e-07,8.72417761167e-08
1378265378,0.55,-1.09516666667e-07,8.33967408769e-08
1378265379,0.55,-1.128e-07,8.70191166737e-08
1378265380,0.55,-1.16366666667e-07,8.40989430506e-08
1378265381,0.55,-1.22216666667e-07,8.55862316939e-08
1378265382,0.55,-1.24433333333e-07,8.47044600689e-08
1378265383,0.55,-1.26433333333e-07,8.49153238363e-08
1378265384,0.55,-1.255e-07,8.62327277391e-08
1378265385,0.55,-1.27766666667e-07,8.59913496942e-08
1378265386,0.55,-1.3125e-07,8.44729986445e-08
1378265387,0.55,-1.26616666667e-07,8.48928916668e-08
1378265388,0.55,-1.31416666667e-07,8.60605003601e-08
1378265389,0.55,-1.2955e-07,8.46712121483e-08
1378265390,0.55,-1.28916666667e-07,8.24767223053e-08
1378265391,0.55,-1.29283333333e-07,8.50856610847e-08
1378265392,0.55,-1.30016666667e-07,8.86477094396e-08
1378265393,0.55,-1.3e-07,8.45310593806e-08
1378265394,0.55,-1.29683333333e-07,8.66207233993e-08
1378265395,0.55,-1.29133333333e-07,8.84745663391e-08
1378265396,0.55,-1.28783333333e-07,8.99144207319e-08
1378265397,0.55,-1.25916666667e-07,8.5126825319e-08
1378265398,0.55,-1.25833333333e-07,8.41217702038e-08
1378265399,0.55,-1.26283333333e-07,8.65453814802e-08
1378265400,0.6,1.21275e-06,5.5777222427e-07
1378265401,0.6,5.31366666667e-07,1.010419e-07
1378265402,0.6,3.84433333333e-07,8.86839644781e-08
1378265403,0.6,3.0505e-07,9.01604911625e-08
1378265404,0.6,2.62616666667e-07,8.95427442932e-08
1378265405,0.6,2.29033333333e-07,9.06590621811e-08
1378265406,0.6,2.024e-07,8.82783854255e-08
1378265407,0.6,1.78183333333e-07,8.60578277801e-08
1378265408,0.6,1.64733333333e-07,8.54922738549e-08
1378265409,0.6,1.50683333333e-07,8.72789573087e-08
1378265410,0.6,1.37233333333e-07,8.7102500283e-08
1378265411,0.6,1.2645e-07,8.91262073317e-08
1378265412,0.6,1.148e-07,8.65686240313e-08
1378265413,0.6,1.10266666667e-07,8.57181168456e-08
1378265414,0.6,9.74833333333e-08,8.68988860049e-08
1378265415,0.6,9.295e-08,8.76948164565e-08
1378265416,0.6,8.89e-08,8.66898110122e-08
1378265417,0.6,8.26333333333e-08,8.45531325394e-08
1378265418,0.6,7.66e-08,8.76770969714e-08
1378265419,0.6,7.21666666667e-08,8.61924526214e-08
1378265420,0.6,6.91666666667e-08,8.73783281038e-08
1378265421,0.6,6.57166666667e-08,8.6261635286e-08
1378265422,0.6,5.955e-08,8.51755882477e-08
1378265423,0.6,5.385e-08,8.68903187933e-08
1378265424,0.6,5.00333333333e-08,8.4507389552e-08
1378265425,0.6,5.09166666667e-08,8.81782837337e-08
1378265426,0.6,4.44333333333e-08,8.61027228889e-08
1378265427,0.6,4.37e-08,8.54525794422e-08
1378265428,0.6,4.265e-08,8.6130100236e-08
1378265429,0.6,3.8e-08,8.89878268829e-08
1378265430,0.6,3.44833333333e-08,8.54662685248e-08
1378265431,0.6,3.485e-08,8.59712791189e-08
1378265432,0.6,3.03166666667e-08,8.84014501515e-08
1378265433,0.65,1.22631666667e-06,4.24361893187e-07
1378265434,0.65,6.85916666667e-07,1.02339678142e-07
1378265435,0.65,5.39783333333e-07,9.41330780804e-08
1378265436,0.65,4.6765e-07,8.67057908485e-08
1378265437,0.65,4.162e-07,8.94570287904e-08
1378265438,0.65,3.79416666667e-07,8.80108500256e-08
1378265439,0.65,3.5355e-07,8.80519590923e-08
1378265440,0.65,3.32866666667e-07,8.86629322522e-08
1378265441,0.65,3.12333333333e-07,8.64188765388e-08
1378265442,0.65,2.95166666667e-07,8.60831316551e-08
1378265443,0.65,2.786e-07,8.87780378247e-08
1378265444,0.65,2.66466666667e-07,8.86078376268e-08
1378265445,0.65,2.54216666667e-07,8.54418109333e-08
1378265446,0.65,2.4485e-07,8.60177937018e-08
1378265447,0.65,2.361e-07,8.73200435181e-08
1378265448,0.65,2.25316666667e-07,9.01636459753e-08
1378265449,0.65,2.15183333333e-07,8.78087868926e-08
1378265450,0.65,2.11183333333e-07,8.5109829371e-08
1378265451,0.65,1.98016666667e-07,8.58573413026e-08
1378265452,0.65,1.90566666667e-07,8.77269184585e-08
1378265453,0.65,1.90283333333e-07,8.96781451761e-08
1378265454,0.65,1.84266666667e-07,8.9229828097e-08
1378265455,0.65,1.75483333333e-07,8.66363071825e-08
1378265456,0.65,1.71983333333e-07,8.93643276456e-08
1378265457,0.65,1.662e-07,8.91986173286e-08
1378265458,0.65,1.65366666667e-07,8.53338476547e-08
1378265459,0.65,1.57066666667e-07,8.71381789012e-08
1378265460,0.65,1.51216666667e-07,8.8592341969e-08
1378265461,0.65,1.455e-07,8.62162977632e-08
1378265462,0.65,1.4595e-07,8.71570278291e-08
1378265463,0.65,1.40716666667e-07,8.6935242502e-08
1378265464,0.65,1.35666666667e-07,8.8423538847e-08
1378265465,0.65,1.35866666667e-07,8.71918319314e-08
1378265466,0.7,1.38115e-06,4.34139295043e-07
1378265467,0.7,8.07366666667e-07,1.0483033382e-07
1378265468,0.7,6.505e-07,9.47430736255e-08
1378265469,0.7,5.76883333333e-07,8.75340108504e-08
1378265470,0.7,5.24033333333e-07,9.0412382387e-08
1378265471,0.7,4.8385e-07,9.14034691172e-08
1378265472,0.7,4.5305e-07,9.05986432937e-08
1378265473,0.7,4.29566666667e-07,8.62301893513e-08
1378265474,0.7,4.0505e-07,8.99003939554e-08
1378265475,0.7,3.864e-07,8.67652388152e-08
1378265476,0.7,3.65816666667e-07,8.63283444505e-08
1378265477,0.7,3.577e-07,9.01270029828e-08
1378265478,0.7,3.454e-07,8.60339467885e-08
1378265479,0.7,3.33316666667e-07,8.56324493921e-08
1378265480,0.7,3.207e-07,8.4202197121e-08
1378265481,0.7,3.154e-07,8.6157839651e-08
1378265482,0.7,3.04466666667e-07,8.6057435601e-08
1378265483,0.7,2.954e-07,8.77876604845e-08
1378265484,0.7,2.8545e-07,8.88953363981e-08
1378265485,0.7,2.834e-07,8.4064102525e-08
1378265486,0.7,2.723e-07,8.62344285461e-08
1378265487,0.7,2.63616666667e-07,8.65226543873e-08
1378265488,0.7,2.57533333333e-07,8.9693453248e-08
1378265489,0.7,2.53766666667e-07,8.86687405772e-08
1378265490,0.7,2.487e-07,8.72819759935e-08
1378265491,0.7,2.45833333333e-07,8.67859755695e-08
1378265492,0.7,2.3665e-07,8.93244693986e-08
1378265493,0.7,2.27816666667e-07,8.73602677931e-08
1378265494,0.7,2.23866666667e-07,9.00909663741e-08
1378265495,0.7,2.202e-07,9.0712696649e-08
1378265496,0.7,2.17516666667e-07,8.44654745378e-08
1378265497,0.7,2.12216666667e-07,8.87825229924e-08
1378265498,0.7,2.0745e-07,8.66289837949e-08
1378265499,0.75,1.50161666667e-06,4.57138895438e-07
1378265500,0.75,9.113e-07,1.06526882366e-07
1378265501,0.75,7.56383333333e-07,9.22397404714e-08
1378265502,0.75,6.70083333333e-07,9.13550384793e-08
1378265503,0.75,6.17816666667e-07,9.15431577029e-08
1378265504,0.75,5.7755e-07,8.81887039252e-08
1378265505,0.75,5.40283333333e-07,8.93681695137e-08
1378265506,0.75,5.084e-07,8.96712886045e-08
1378265507,0.75,4.89483333333e-07,8.53403952156e-08
1378265508,0.75,4.7295e-07,8.72575545918e-08
1378265509,0.75,4.47716666667e-07,8.99149768145e-08
1378265510,0.75,4.4155e-07,8.78228187887e-08
1378265511,0.75,4.1635e-07,8.84454304454e-08
1378265512,0.75,4.1325e-07,8.72306568816e-08
1378265513,0.75,4.03833333333e-07,8.7777021797e-08
1378265514,0.75,3.92066666667e-07,8.69141083037e-08
1378265515,0.75,3.861e-07,8.78822507677e-08
1378265516,0.75,3.74e-07,8.81976946033e-08
1378265517,0.75,3.61666666667e-07,8.70223470661e-08
1378265518,0.75,3.561e-07,8.90774382209e-08
1378265519,0.75,3.489e-07,8.76686374937e-08
1378265520,0.75,3.42016666667e-07,8.53708560081e-08
1378265521,0.75,3.3555e-07,8.68434271165e-08
1378265522,0.75,3.25266666667e-07,9.0500988331e-08
1378265523,0.75,3.22566666667e-07,8.97593758643e-08
1378265524,0.75,3.17433333333e-07,8.82179812863e-08
1378265525,0.75,3.12166666667e-07,8.56823915529e-08
1378265526,0.75,3.03033333333e-07,8.77418498906e-08
1378265527,0.75,3.01416666667e-07,8.69774475878e-08
1378265528,0.75,2.98383333333e-07,9.08843755671e-08
1378265529,0.75,2.903e-07,8.71143501382e-08
1378265530,0.75,2.89633333333e-07,8.75282747967e-08
1378265531,0.75,2.86083333333e-07,8.76360450322e-08
1378265532,0.8,1.61136666667e-06,4.51751552909e-07
1378265533,0.8,1.02408333333e-06,1.00578707433e-07
1378265534,0.8,8.8575e-07,9.27102340629e-08
1378265535,0.8,8.028e-07,9.04930568239e-08
1378265536,0.8,7.38183333333e-07,8.9196130646e-08
1378265537,0.8,6.90066666667e-07,9.24039801933e-08
1378265538,0.8,6.67333333333e-07,8.9234086661e-08
1378265539,0.8,6.41083333333e-07,8.96729784024e-08
1378265540,0.8,6.193e-07,8.95591610799e-08
1378265541,0.8,5.89e-07,8.90168523371e-08
1378265542,0.8,5.75583333333e-07,8.66193380385e-08
1378265543,0.8,5.6125e-07,9.22289948986e-08
1378265544,0.8,5.48566666667e-07,8.85293485549e-08
1378265545,0.8,5.27383333333e-07,8.91799849867e-08
1378265546,0.8,5.2405e-07,8.93122658616e-08
1378265547,0.8,5.12183333333e-07,8.88565307423e-08
1378265548,0.8,4.97483333333e-07,8.99745318904e-08
1378265549,0.8,4.84516666667e-07,8.86238289376e-08
1378265550,0.8,4.76416666667e-07,8.85809030711e-08
1378265551,0.8,4.74216666667e-07,8.85643065173e-08
1378265552,0.8,4.67683333333e-07,8.6777779734e-08
1378265553,0.8,4.56466666667e-07,8.93859546511e-08
1378265554,0.8,4.5035e-07,8.91279651213e-08
