time,voltage,current,stdDev
1378248306,0.5,-4.54003333333e-06,9.52309385418e-07
1378248307,0.5,-3.17911666667e-06,2.16022305304e-07
1378248308,0.5,-2.63451666667e-06,1.2636131946e-07
1378248309,0.5,-2.28293333333e-06,1.08388478272e-07
1378248310,0.5,-2.03493333333e-06,9.75080965299e-08
1378248311,0.5,-1.83136666667e-06,9.87165920986e-08
1378248312,0.5,-1.68065e-06,8.728398574e-08
1378248313,0.5,-1.54901666667e-06,9.01921082406e-08
1378248314,0.5,-1.443e-06,8.33016606477e-08
1378248315,0.5,-1.3596e-06,8.30070679722e-08
1378248316,0.5,-1.28345e-06,8.55785068422e-08
1378248317,0.5,-1.20696666667e-06,8.62204474331e-08
1378248318,0.5,-1.14733333333e-06,8.03060119515e-08
1378248319,0.5,-1.09033333333e-06,7.8276575182e-08
1378248320,0.5,-1.05196666667e-06,7.71597837103e-08
1378248321,0.5,-9.95283333333e-07,7.98905692529e-08
1378248322,0.5,-9.63416666667e-07,8.19598055282e-08
1378248323,0.5,-9.2385e-07,8.20208967276e-08
1378248324,0.5,-8.8895e-07,8.11263263887e-08
1378248325,0.5,-8.55833333333e-07,8.00092008598e-08
1378248326,0.5,-8.257e-07,7.72539750865e-08
1378248327,0.5,-7.95483333333e-07,8.40407622658e-08
1378248328,0.5,-7.7255e-07,8.05703471094e-08
1378248329,0.5,-7.51783333333e-07,8.04636753794e-08
1378248330,0.5,-7.26966666667e-07,8.82957089683e-08
1378248331,0.5,-7.0885e-07,7.89024344787e-08
1378248332,0.5,-6.85383333333e-07,7.89690005987e-08
1378248333,0.5,-6.7455e-07,8.14445465741e-08
1378248334,0.5,-6.50816666667e-07,8.34840287454e-08
1378248335,0.5,-6.32733333333e-07,7.84274328422e-08
1378248336,0.5,-6.20516666667e-07,8.42000577329e-08
1378248337,0.5,-6.01116666667e-07,7.82741105915e-08
1378248338,0.5,-5.93383333333e-07,7.86223233072e-08
1378248339,0.5,-5.78183333333e-07,7.75582558826e-08
1378248340,0.5,-5.63816666667e-07,7.72173321793e-08
1378248341,0.5,-5.50333333333e-07,7.67206331801e-08
1378248342,0.5,-5.33266666667e-07,7.73347413665e-08
1378248343,0.5,-5.3015e-07,8.55554060244e-08
1378248344,0.5,-5.2185e-07,7.69349996209e-08
1378248345,0.5,-5.0575e-07,8.07559337345e-08
1378248346,0.5,-4.99183333333e-07,7.7356855259e-08
1378248347,0.5,-4.87133333333e-07,7.83737767936e-08
1378248348,0.5,-4.74983333333e-07,8.19374744682e-08
1378248349,0.5,-4.68133333333e-07,7.77689883923e-08
1378248350,0.5,-4.63183333333e-07,8.28137451688e-08
1378248351,0.5,-4.49933333333e-07,7.84420947083e-08
1378248352,0.5,-4.415e-07,7.37252783424e-08
1378248353,0.5,-4.384e-07,8.00121240813e-08
1378248354,0.5,-4.37533333333e-07,7.84054561593e-08
1378248355,0.5,-4.20816666667e-07,7.82778154325e-08
1378248356,0.5,-4.149e-07,7.65734288118e-08
1378248357,0.5,-4.11266666667e-07,8.37042146822e-08
1378248358,0.5,-4.0245e-07,7.54447756088e-08
1378248359,0.5,-3.9675e-07,8.57526724559e-08
1378248360,0.5,-3.9055e-07,7.46086288575e-08
1378248361,0.5,-3.83466666667e-07,8.16903639088e-08
1378248362,0.5,-3.75616666667e-07,8.03546496615e-08
1378248363,0.5,-3.73416666667e-07,7.76245862397e-08
1378248364,0.5,-3.647e-07,8.11854461506e-08
1378248365,0.5,-3.65616666667e-07,7.80354816022e-08
1378248366,0.5,-3.5735e-07,7.76523931805e-08
1378248367,0.5,-3.52316666667e-07,8.26622629875e-08
1378248368,0.5,-3.47616666667e-07,8.31759363572e-08
1378248369,0.5,-3.41e-07,8.1003086361e-08
1378248370,0.5,-3.44933333333e-07,7.52395876886e-08
1378248371,0.5,-3.34616666667e-07,7.61912268936e-08
1378248372,0.5,-3.37266666667e-07,7.95960356355e-08
1378248373,0.55,1.60383333333e-06,5.13002084683e-07
1378248374,0.55,8.7005e-07,1.28240324521e-07
1378248375,0.55,6.04866666667e-07,9.12459070619e-08
1378248376,0.55,4.58333333333e-07,8.34379343518e-08
1378248377,0.55,3.559e-07,8.17721835345e-08
1378248378,0.55,2.85133333333e-07,7.7660471856e-08
1378248379,0.55,2.28733333333e-07,7.88314376093e-08
1378248380,0.55,1.83516666667e-07,7.9906506132e-08
1378248381,0.55,1.45483333333e-07,8.22213459037e-08
1378248382,0.55,1.14583333333e-07,8.06127143956e-08
1378248383,0.55,9.47666666667e-08,8.19630743418e-08
1378248384,0.55,6.78166666667e-08,8.08052167595e-08
1378248385,0.55,5.23666666667e-08,8.30676364309e-08
1378248386,0.55,3.74666666667e-08,8.03922605451e-08
1378248387,0.55,2.23e-08,7.88978875932e-08
1378248388,0.55,9.55e-09,8.32298874604e-08
1378248389,0.55,-6.83333333333e-10,7.86772927145e-08
1378248390,0.55,-8.86666666667e-09,8.2471503496e-08
1378248391,0.55,-1.27166666667e-08,8.21859865725e-08
1378248392,0.55,-2.59833333333e-08,7.90513528593e-08
1378248393,0.55,-3.24666666667e-08,7.78775677301e-08
1378248394,0.55,-3.38166666667e-08,8.22993502742e-08
1378248395,0.55,-4.19e-08,7.85868309579e-08
1378248396,0.55,-4.86333333333e-08,7.6275589513e-08
1378248397,0.55,-4.765e-08,8.53642831243e-08
1378248398,0.55,-5.195e-08,7.67079798109e-08
1378248399,0.55,-5.41e-08,8.08250579956e-08
1378248400,0.55,-5.48333333333e-08,8.23608253696e-08
1378248401,0.55,-6.14333333333e-08,7.81608100151e-08
1378248402,0.55,-6.01333333333e-08,8.15116487926e-08
1378248403,0.55,-6.555e-08,7.91893143044e-08
1378248404,0.55,-6.76e-08,8.6059514291e-08
1378248405,0.55,-6.695e-08,7.7625903108e-08
1378248406,0.55,-7.14666666667e-08,8.43080594539e-08
1378248407,0.55,-7.13e-08,8.35961123498e-08
1378248408,0.55,-7.16833333333e-08,8.07821126378e-08
1378248409,0.55,-7.73333333333e-08,7.48502208117e-08
1378248410,0.55,-7.575e-08,8.29519188044e-08
1378248411,0.55,-7.62833333333e-08,7.78573678095e-08
1378248412,0.55,-7.39833333333e-08,8.52939020225e-08
1378248413,0.55,-7.75e-08,8.16807810932e-08
1378248414,0.55,-7.60833333333e-08,8.18997948037e-08
1378248415,0.55,-8.16666666667e-08,8.00086800847e-08
1378248416,0.55,-8.08333333333e-08,7.97295776707e-08
1378248417,0.55,-7.85e-08,8.45512664995e-08
1378248418,0.55,-8.07333333333e-08,8.13713435772e-08
1378248419,0.55,-8.03166666667e-08,7.93934278696e-08
1378248420,0.55,-7.55833333333e-08,7.89836041354e-08
1378248421,0.55,-7.85833333333e-08,8.01284992302e-08
